Gene ID	Annotation	Gene length (bp)	No. of Unique hits	Normalize Unique hits (hits/bp)	Total number of reads	Pvalue (Essential)	Adj. Pvalue (Essential)	FWER (Essential)	Pvalue (Improved fitness)	Adj. Pvalue (Improved fitness)	FWER (Improved fitness)
MPAO1_00005	chromosomal replication initiator protein DnaA	1545	0.0	0.0	0.0	0.6835514419846206	1.0	1.0	0.3164485580153794	0.3464489893861799	1.0
MPAO1_00010	DNA polymerase III subunit beta	1104	0.0	0.0	0.0	0.7889170278640193	1.0	1.0	0.2110829721359807	0.28661254567227873	1.0
MPAO1_00015	DNA replication/repair protein RecF	1110	0.0	0.0	0.0	0.6949524086766073	1.0	1.0	0.30504759132339265	0.3385705705813637	1.0
MPAO1_00020	DNA gyrase subunit B	2421	0.0	0.0	0.0	0.5574042235550214	1.0	1.0	0.4425957764449786	0.4518197245473401	1.0
MPAO1_00025	1-acyl-sn-glycerol-3-phosphate acyltransferase	774	0.0	0.0	0.0	0.8428819869535721	1.0	1.0	0.15711801304642792	0.2790150092709678	1.0
MPAO1_00030	D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase	537	0.0	0.0	0.0	0.8109693320831072	1.0	1.0	0.18903066791689282	0.2822973236827988	1.0
MPAO1_00035	hypothetical protein	1707	0.0	0.0	0.0	0.6649639519875312	1.0	1.0	0.3350360480124688	0.36028940545504784	1.0
MPAO1_00040	glycine--tRNA ligase subunit beta	2055	0.0	0.0	0.0	0.6433249297070063	1.0	1.0	0.3566750702929937	0.3776181669996789	1.0
MPAO1_00045	glycine--tRNA ligase subunit alpha	948	0.0	0.0	0.0	0.8065101007003912	1.0	1.0	0.1934898992996088	0.28291881295599514	1.0
MPAO1_00050	DNA-3-methyladenine glycosylase I	552	0.0	0.0	0.0	0.8616784936395655	1.0	1.0	0.1383215063604345	0.28007365290617775	1.0
MPAO1_00055	lysophospholipid acyltransferase	888	0.0	0.0	0.0	0.726293280834078	1.0	1.0	0.27370671916592204	0.3188995233413855	1.0
MPAO1_00060	PilZ domain-containing protein	267	0.0	0.0	0.0	0.9055174747369944	1.0	1.0	0.0944825252630056	0.29462508408273047	1.0
MPAO1_00065	7-cyano-7-deazaguanine/7-aminomethyl-7-deazaguanine transporter	654	0.0	0.0	0.0	0.8244955040365419	1.0	1.0	0.17550449596345807	0.2803302791503279	1.0
MPAO1_00070	hypothetical protein	273	0.0	0.0	0.0	0.9105241224373001	1.0	1.0	0.08947587756269992	0.2969730142933654	1.0
MPAO1_00075	tetratricopeptide repeat protein	318	0.0	0.0	0.0	0.9515868193375707	1.0	1.0	0.04841318066242928	0.32227936119338535	1.0
MPAO1_00080	Trk system potassium transporter TrkA	1374	0.0	0.0	0.0	0.6760548976023489	1.0	1.0	0.32394510239765106	0.3522288775237501	1.0
MPAO1_00085	ribosomal RNA small subunit methyltransferase B	1305	0.0	0.0	0.0	0.8428819869535721	1.0	1.0	0.15711801304642792	0.2790150092709678	1.0
MPAO1_00090	methionyl-tRNA formyltransferase	945	0.0	0.0	0.0	0.8336380561590307	1.0	1.0	0.16636194384096925	0.2795527461112685	1.0
MPAO1_00095	peptide deformylase	507	0.0	0.0	0.0	0.8664427536002431	1.0	1.0	0.13355724639975686	0.2830027016358222	1.0
MPAO1_00100	LysM peptidoglycan-binding domain-containing protein	1026	2.0	0.0021645021645021645	87.0	0.9973133272582393	1.0	1.0	0.0026866727417607095	0.13732402066147348	1.0
MPAO1_00105	DNA-protecting protein DprA	1089	0.0	0.0	0.0	0.8664427536002431	1.0	1.0	0.13355724639975686	0.2830027016358222	1.0
MPAO1_00110	threonylcarbamoyl-AMP synthase	558	0.0	0.0	0.0	0.8906621055928714	1.0	1.0	0.1093378944071286	0.29133642036496005	1.0
MPAO1_00115	quinone oxidoreductase	978	1.0	0.0011363636363636363	44.0	0.978488459407316	1.0	1.0	0.02151154059268401	0.2926963787124921	1.0
MPAO1_00120	coproporphyrinogen III oxidase	918	0.0	0.0	0.0	0.7932789863391272	1.0	1.0	0.2067210136608728	0.28563848573075	1.0
MPAO1_00125	shikimate dehydrogenase	825	0.0	0.0	0.0	0.8906621055928714	1.0	1.0	0.1093378944071286	0.29133642036496005	1.0
MPAO1_00130	phospholipase C	987	0.0	0.0	0.0	0.7932789863391272	1.0	1.0	0.2067210136608728	0.28563848573075	1.0
MPAO1_00135	peptidylprolyl isomerase	1287	1.0	8.628127696289905E-4	130.0	0.9677341623523363	1.0	1.0	0.032265837647663664	0.31609765615494506	1.0
MPAO1_00140	hypothetical protein	603	1.0	0.001841620626151013	25.0	0.9929157667598884	1.0	1.0	0.007084233240111648	0.2031274291969574	1.0
MPAO1_00145	SulP family inorganic anion transporter	1554	0.0	0.0	0.0	0.7222996528843848	1.0	1.0	0.2777003471156152	0.3213866194813125	1.0
MPAO1_00150	choline ABC transporter substrate-binding protein	924	1.0	0.001201923076923077	17.0	0.9831717484232942	1.0	1.0	0.016828251576705755	0.2637772340476705	1.0
MPAO1_00155	choline-sulfatase	1512	1.0	7.352941176470588E-4	12.0	0.9485523781994426	1.0	1.0	0.0514476218005574	0.30763898366599834	1.0
MPAO1_00160	LysR family transcriptional regulator	915	0.0	0.0	0.0	0.8290541775402155	1.0	1.0	0.1709458224597845	0.2798940235149341	1.0
MPAO1_00165	DOPA 4,5-dioxygenase	378	0.0	0.0	0.0	0.8955866172750023	1.0	1.0	0.10441338272499767	0.29365639409451494	1.0
MPAO1_00170	Hpt domain-containing protein	366	0.0	0.0	0.0	0.9515868193375707	1.0	1.0	0.04841318066242928	0.32227936119338535	1.0
MPAO1_00175	DNA-binding response regulator	624	0.0	0.0	0.0	0.8616784936395655	1.0	1.0	0.1383215063604345	0.28007365290617775	1.0
MPAO1_00180	tryptophan synthase subunit alpha	807	0.0	0.0	0.0	0.8428819869535721	1.0	1.0	0.15711801304642792	0.2790150092709678	1.0
MPAO1_00185	tryptophan synthase subunit beta	1209	0.0	0.0	0.0	0.7548738274577823	1.0	1.0	0.2451261725422177	0.3030819609177862	1.0
MPAO1_00190	transcriptional regulator	888	0.0	0.0	0.0	0.8616784936395655	1.0	1.0	0.1383215063604345	0.28007365290617775	1.0
MPAO1_00195	dodecin flavoprotein	216	0.0	0.0	0.0	0.9206206168480174	1.0	1.0	0.07937938315198256	0.30596197650318263	1.0
MPAO1_00200	DUF1161 domain-containing protein	228	0.0	0.0	0.0	0.9463543824989676	1.0	1.0	0.05364561750103236	0.31691350720710376	1.0
MPAO1_00205	ShlB/FhaC/HecB family hemolysin secretion/activation protein	1689	0.0	0.0	0.0	0.7717077272972781	1.0	1.0	0.2282922727027219	0.29485870774480316	1.0
MPAO1_00210	filamentous hemagglutinin N-terminal domain-containing protein	10608	0.0	0.0	0.0	0.19878164087154387	1.0	1.0	0.8012183591284561	0.8020370427379198	1.0
MPAO1_00215	hypothetical protein	255	0.0	0.0	0.0	0.8336380561590307	1.0	1.0	0.16636194384096925	0.2795527461112685	1.0
MPAO1_00220	transposase	702	0.0	0.0	0.0	0.7222996528843848	1.0	1.0	0.2777003471156152	0.3213866194813125	1.0
MPAO1_00230	hypothetical protein	237	0.0	0.0	0.0	0.8522284205740137	1.0	1.0	0.1477715794259863	0.27947276186163045	1.0
MPAO1_00235	hypothetical protein	246	0.0	0.0	0.0	0.8808941677405295	1.0	1.0	0.11910583225947047	0.28692790246769156	1.0
MPAO1_00240	hypothetical protein	321	0.0	0.0	0.0	0.7759745347592801	1.0	1.0	0.22402546524071987	0.2929525438676199	1.0
MPAO1_00245	transposase	279	0.0	0.0	0.0	0.8712333553730242	1.0	1.0	0.12876664462697585	0.28411799441342495	1.0
MPAO1_00250	hypothetical protein	396	1.0	0.0028089887640449437	28.0	0.9888767126834506	1.0	1.0	0.011123287316549435	0.23603856623349306	1.0
MPAO1_00255	hypothetical protein	261	0.0	0.0	0.0	0.9781861717279254	1.0	1.0	0.021813828272074565	0.29274356754167646	1.0
MPAO1_00260	DUF4010 domain-containing protein	1383	0.0	0.0	0.0	0.7759745347592801	1.0	1.0	0.22402546524071987	0.2929525438676199	1.0
MPAO1_00265	exoenzyme T	1374	1.0	8.090614886731392E-4	39.0	0.9677341623523363	1.0	1.0	0.032265837647663664	0.31609765615494506	1.0
MPAO1_00270	curli production assembly protein CsgG	687	0.0	0.0	0.0	0.8569404306467528	1.0	1.0	0.14305956935324715	0.27983499123407213	1.0
MPAO1_00275	DUF4810 domain-containing protein	354	0.0	0.0	0.0	0.9257107705146099	1.0	1.0	0.07428922948539007	0.3090389886165059	1.0
MPAO1_00280	hypothetical protein	666	0.0	0.0	0.0	0.8664427536002431	1.0	1.0	0.13355724639975686	0.2830027016358222	1.0
MPAO1_00285	XRE family transcriptional regulator	384	0.0	0.0	0.0	0.9411507169660548	1.0	1.0	0.05884928303394521	0.3176456250445638	1.0
MPAO1_00290	hypothetical protein	1662	0.0	0.0	0.0	0.7384071394185345	1.0	1.0	0.26159286058146547	0.31138980042483877	1.0
MPAO1_00295	hypothetical protein	141	0.0	0.0	0.0	0.9835946079909306	1.0	1.0	0.01640539200906943	0.27630628719000033	1.0
MPAO1_00300	asparagine synthase (glutamine-hydrolyzing)	1833	1.0	6.064281382656155E-4	270.0	0.9340296459812152	1.0	1.0	0.06597035401878482	0.30200447112337786	1.0
MPAO1_00305	cupin domain-containing protein	429	0.0	0.0	0.0	0.9206206168480174	1.0	1.0	0.07937938315198256	0.30596197650318263	1.0
MPAO1_00315	RNA 2'-phosphotransferase	549	0.0	0.0	0.0	0.8906621055928714	1.0	1.0	0.1093378944071286	0.29133642036496005	1.0
MPAO1_00320	DUF1993 family protein	507	0.0	0.0	0.0	0.9155584521226523	1.0	1.0	0.0844415478773477	0.3002706705523592	1.0
MPAO1_00325	LysR family transcriptional regulator	921	0.0	0.0	0.0	0.8712333553730242	1.0	1.0	0.12876664462697585	0.28411799441342495	1.0
MPAO1_00330	MBL fold metallo-hydrolase	888	1.0	0.00125	32.0	0.9903135125778636	1.0	1.0	0.009686487422136403	0.2286633456518786	1.0
MPAO1_00335	DsbA family protein	705	1.0	0.0015748031496062992	79.0	0.9946214079422244	1.0	1.0	0.0053785920577755775	0.18488517026669501	1.0
MPAO1_00340	OsmC family peroxiredoxin	456	0.0	0.0	0.0	0.9105241224373001	1.0	1.0	0.08947587756269992	0.2969730142933654	1.0
MPAO1_00345	DUF1161 domain-containing protein	234	0.0	0.0	0.0	0.9515868193375707	1.0	1.0	0.04841318066242928	0.32227936119338535	1.0
MPAO1_00350	hypothetical protein	438	1.0	0.0025380710659898475	31.0	0.9973669335540689	1.0	1.0	0.002633066445931087	0.14199233549709112	1.0
MPAO1_00355	hypothetical protein	417	0.0	0.0	0.0	0.9359756645356744	1.0	1.0	0.06402433546432562	0.31598240458380017	1.0
MPAO1_00360	aminopeptidase	1128	0.0	0.0	0.0	0.7932789863391272	1.0	1.0	0.2067210136608728	0.28563848573075	1.0
MPAO1_00365	hypothetical protein	984	0.0	0.0	0.0	0.8154532187609116	1.0	1.0	0.1845467812390884	0.2810274559905082	1.0
MPAO1_00370	HAD family hydrolase	666	0.0	0.0	0.0	0.8808941677405295	1.0	1.0	0.11910583225947047	0.28692790246769156	1.0
